"";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"10473312";3,4824824158553;7,61124182416075;24,3664680546541;1,23724412611114e-09;6,70867905878101e-06;12,4150349267714
"10581299";3,46028485373333;6,6778084709705;23,8351164251668;1,50943392030172e-09;6,70867905878101e-06;12,2571556460745
"10373400";2,8272115893383;7,3565498156837;20,8270276357851;5,08093121081341e-09;1,1913861842487e-05;11,2534257535567
"10441003";2,94226398165073;7,24688577103027;20,702813849391;5,36117081448399e-09;1,1913861842487e-05;11,2075223737366
"10485624";2,9077176094091;5,14382659994816;18,3351469758067;1,59005117262137e-08;2,22096392155076e-05;10,2530536985641
"10522208";2,57396372951968;6,38091752828679;18,1019752103599;1,78245238974766e-08;2,22096392155076e-05;10,1501628779703
"10481175";2,77587570183706;7,27700395981854;17,8546909849196;2,01509397864062e-08;2,22096392155076e-05;10,0391396999156
"10399725";2,6694913658845;5,33600903304061;17,608105925323;2,28099407670584e-08;2,22096392155076e-05;9,9264306624681
"10440091";2,35310286412041;7,43263510644016;17,6024152898913;2,28757229751114e-08;2,22096392155076e-05;9,92380562280263
"10434860";2,91480957308661;7,84537393630421;17,2019051375626;2,807851111052e-08;2,22096392155076e-05;9,73627822355231
"10484203";2,21369829749874;6,46987414431301;17,157968964837;2,87247592367016e-08;2,22096392155076e-05;9,71536814469502
"10349993";2,4103953835945;7,36270289909803;17,0755026440069;2,99826381579583e-08;2,22096392155076e-05;9,67593704151932
"10484207";2,19934525134877;6,2893082351887;16,6307052446822;3,7909840555495e-08;2,5921582515215e-05;9,45904180946458
"10581151";3,54300094683544;7,2407573505986;16,4450672240666;4,18826688182811e-08;2,65925030804072e-05;9,36636353462293
"10438911";2,00236570803631;9,54130570566065;16,1854484056633;4,82328268722289e-08;2,76775315137778e-05;9,23455459980477
"10427075";2,98012356168756;6,88178417526403;16,1264891713686;4,98189339881252e-08;2,76775315137778e-05;9,20425766187809
"10484201";2,19939189076692;6,61219662681045;15,6411506124569;6,53024393053208e-08;3,41454931167645e-05;8,94960412412201
"10484197";2,0969731644568;5,69244230443146;15,4044179405381;7,47312293432612e-08;3,69047720906805e-05;8,82189444683243
"10456400";2,54786348033104;8,25518069472224;15,0079451404405;9,40813922788571e-08;4,04062664784958e-05;8,60266053971473
"10377148";2,85444212615191;8,21321378777003;14,9832439051334;9,54586113228048e-08;4,04062664784958e-05;8,58877462725905
"10363541";2,65587607219596;6,34102413392603;14,334632994152;1,40958196157199e-07;5,03839383937621e-05;8,21423313874545
"10559790";2,27363084009709;7,39680397986109;14,2367814232025;1,49706345665745e-07;5,03839383937621e-05;8,15602001694502
"10421526";2,03709428972889;9,13846332439;14,1699470593056;1,56025802411368e-07;5,03839383937621e-05;8,11599389044346
"10574220";2,2659019708737;6,26791703895228;13,9313866867488;1,81105574793451e-07;5,03839383937621e-05;7,97133836099475
"10443854";-2,79918836152917;5,48715212256049;-13,8574222672277;1,89762166738775e-07;5,03839383937621e-05;7,9259138357071
"10471154";2,63884182956524;6,3387372524831;13,8401386736103;1,9185024163731e-07;5,03839383937621e-05;7,91525956112194
"10505517";2,26476855183859;6,68854249093068;13,7885012643364;1,98241389019665e-07;5,03839383937621e-05;7,88333812145564
"10447190";2,4148263896926;6,73819337833929;13,7873679004992;1,98384277621968e-07;5,03839383937621e-05;7,88263597452824
"10361055";2,60064710214787;6,05838702966245;13,6510836509537;2,16425189957161e-07;5,10918451455918e-05;7,79772527673839
"10505120";2,30886271576518;6,81466778179609;13,6368261868689;2,18414907811057e-07;5,10918451455918e-05;7,78878703641495
"10593293";2,59553361737786;8,56931233684251;13,5204226554856;2,35436789407051e-07;5,24779181516643e-05;7,71541604261878
"10438909";2,12729571745376;5,69787077408274;13,4983743445055;2,38823218639713e-07;5,24779181516643e-05;7,70143874097014
"10580693";2,74010038506666;5,22485504497944;13,3103337783675;2,69992384095189e-07;5,71419595767174e-05;7,58118475437434
"10431874";2,16213719251299;5,72123189015503;13,1025377492057;3,09761036298149e-07;6,40340895733545e-05;7,44607881417902
"10481272";2,20705917117004;5,00199150862576;12,9699557251327;3,3849548872091e-07;6,83837818009129e-05;7,35863271931369
"10585390";3,08487839830193;6,12020814640081;12,8433181667918;3,68711262828392e-07;6,97334981974804e-05;7,27418570202172
"10468691";2,77912740390251;9,19158120008388;12,7640973374031;3,89121195993937e-07;7,03269969833917e-05;7,2208937971706
"10461878";2,04526653423839;6,38218141929809;12,7399632203978;3,95584413226413e-07;7,03269969833917e-05;7,20458707520742
"10376765";4,05512211567407;6,65530355163267;12,6613920006098;4,17460881984302e-07;7,27609760776169e-05;7,15126512251097
"10571696";2,51519957912311;6,71188497630464;12,4376724257111;4,8741693737091e-07;8,17480972884909e-05;6,99745401773301
"10505143";2,37627130545822;6,913902797984;12,2500835345377;5,56112678152306e-07;9,15423258536268e-05;6,86617189679682
"10584741";-2,35082919894687;8,03024181313943;-12,0781818098828;6,28536334749933e-07;9,63286117171061e-05;6,74397097230091
"10530854";3,11853929328632;4,68259399561062;11,7783946218756;7,81067563008515e-07;0,000113818189632503;6,52639422332997
"10396952";3,12967109170499;7,81234757088325;11,5695410668241;9,1136964227507e-07;0,000120912906719151;6,3713605676584
"10569370";2,90226657993547;6,32689126041163;11,5448451901223;9,28299931320584e-07;0,00012134791308101;6,35283673133844
"10590031";2,01711311467059;7,62959493952525;11,4213074545324;1,01836652193426e-06;0,000131192174108313;6,25955497630283
"10357436";2,26778226498195;5,58628181367549;11,3720187480271;1,05695475323215e-06;0,000134218154306866;6,22204735655212
"10492021";2,17406941429602;9,55261531899488;11,1868656707207;1,21699181928756e-06;0,000145398415960924;6,07964688211075
"10361007";-2,09416156813519;8,05041922755536;-10,939704453138;1,47375101060261e-06;0,000161730527570945;5,88577635809287
"10549877";2,55988504741198;5,42051441142619;10,9161473821659;1,50118160594846e-06;0,000162352744888231;5,86706823824664
"10404649";4,16825136313881;6,80035529608257;10,8124710077361;1,6287772599096e-06;0,000168351175155075;5,78424822690113
"10559796";2,25989242166161;8,73213492146107;10,7257702140637;1,74468298981681e-06;0,000178258472373352;5,71437708840553
"10456836";-2,22541913650918;7,45780247185171;-10,5648293933023;1,98469506119783e-06;0,000185704783147237;5,58317596224892
"10507833";-2,63075752033229;6,16061036047219;-10,5296603987961;2,04185076290114e-06;0,000189062619077377;5,55424265663697
"10487945";-2,09833948030656;9,16028777120978;-10,4871948923459;2,11329315197615e-06;0,000191179104606089;5,51917944034597
"10377018";5,34918076626194;8,49653027364893;10,2235121258791;2,62350147541412e-06;0,000208581725548752;5,29829833288401
"10438753";2,54247356041963;8,31369834753197;10,1850016765854;2,70876630330552e-06;0,000208581725548752;5,26557594617885
"10563770";3,02363376925083;9,79586337371192;10,1779947818964;2,72460565719848e-06;0,000208581725548752;5,25960930581076
"10540401";2,79292480701381;8,73747165236445;10,1626327205807;2,75969015980467e-06;0,000208581725548752;5,24651401251712
"10350473";2,5827005997582;7,51489096307704;9,99849832276754;3,16723829738218e-06;0,000226882534867696;5,10539599811604
"10468253";2,0440867439786;7,49224455125334;9,86678170824479;3,54235288629368e-06;0,000240366219895149;4,99053596812856
"10349174";2,06018583156855;5,41364532733368;9,80058177038665;3,7491330850531e-06;0,000246859585133608;4,93225622571404
"10474972";-2,164428350106;6,79079312591496;-9,59345324906214;4,48680566443425e-06;0,000267672587591651;4,74747874885681
"10494804";2,23279578302077;9,63512772417652;9,36963852131599;5,46798232678702e-06;0,000300182779863636;4,54357820045383
"10606941";2,11368141360919;5,51636194850475;9,31221239677381;5,75624460606469e-06;0,000302908781124069;4,49053564320841
"10599324";2,46263574236048;7,52499217955865;9,16916254034619;6,54964557458033e-06;0,000319889008310135;4,35709023339307
"10441361";2,10011525221643;6,03495445780066;8,94073771546855;8,07743617560738e-06;0,000358600950765048;4,14003092036937
"10368670";-2,30876849172423;9,82108603729407;-8,71636411841544;9,96730327374816e-06;0,000415671805249966;3,92193063079527
"10424221";2,1536168551335;6,98972938796024;8,66539245058392;1,04612558357833e-05;0,000427888023195721;3,87169220828741
"10368748";-2,24930285346823;9,83308758559664;-8,62727456490396;1,08482019108167e-05;0,000432242879787083;3,8339527542838
"10447510";-2,27616516554047;9,47328906307823;-8,60067558822158;1,11275127582074e-05;0,000435737713249803;3,80753125065455
"10512935";-2,26178913373777;9,91343355212673;-8,58325771187561;1,13146860385979e-05;0,000439197572913086;3,79019086942842
"10459389";-2,30859170590178;9,89734278857416;-8,48606123658492;1,24246850359083e-05;0,000464046324723484;3,69286045054407
"10467191";3,59783199913701;9,98327971402414;8,43495360793629;1,30558503300945e-05;0,000476631446086948;3,64129400390719
"10344175";2,21329155687531;3,84737615533023;8,38221585097207;1,37442220445058e-05;0,000488689559014448;3,58779948783602
"10509073";2,7057472922191;8,39004507712687;8,14663549893978;1,73450631251391e-05;0,000552617441288034;3,34526825769917
"10443463";2,48899334616879;9,31890763650692;8,1021316098208;1,81352347244281e-05;0,000566931592786622;3,29878570464772
